1636658454678,HITCOUNT,$Root$ calls HitCount,<None>:$Root$:<None>,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service
1636658454680,HITCOUNT,HitCount calls HitCount,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:incrementEJB
1636658454680,HITCOUNT,HitCount calls IncrementAction,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:incrementEJB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:increment
1636658454680,HITCOUNT,IncrementAction calls IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454681,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:Increment
1636658454681,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454681,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey
1636658454681,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454681,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setPrimarykey
1636658454682,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setPrimarykey,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454682,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue
1636658454682,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454682,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue
1636658454682,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454682,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue
1636658454682,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454682,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue
1636658454682,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment
1636658454683,HITCOUNT,IncrementSSB returns to IncrementAction,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:increment
1636658454683,HITCOUNT,IncrementAction returns to HitCount,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:increment,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:incrementEJB
1636658454683,HITCOUNT,HitCount returns to HitCount,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:incrementEJB,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service
1636658454683,HITCOUNT,HitCount calls Increment,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey
1636658454683,HITCOUNT,Increment returns to HitCount,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service
1636658454684,HITCOUNT,HitCount calls Increment,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue
1636658454685,HITCOUNT,Increment returns to HitCount,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service
1636658454685,HITCOUNT,HitCount calls HitCount,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:getValueEJB
1636658454685,HITCOUNT,HitCount calls IncrementAction,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:getValueEJB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:getTheValue
1636658454685,HITCOUNT,IncrementAction calls IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454685,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:Increment
1636658454686,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454686,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey
1636658454686,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getPrimarykey,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454686,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setPrimarykey
1636658454686,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setPrimarykey,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454686,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue
1636658454686,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454686,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue
1636658454687,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:setThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454687,HITCOUNT,IncrementSSB calls Increment,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue
1636658454687,HITCOUNT,Increment returns to IncrementSSB,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/Increment.java:Increment:getThevalue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue
1636658454687,HITCOUNT,IncrementSSB returns to IncrementAction,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementSSB.java:IncrementSSB:getTheValue,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:getTheValue
1636658454687,HITCOUNT,IncrementAction returns to HitCount,monolith/DefaultWebApplication/src/main/java/com/ibm/defaultapplication/IncrementAction.java:IncrementAction:getTheValue,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:getValueEJB
1636658454687,HITCOUNT,HitCount returns to HitCount,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:getValueEJB,monolith/DefaultWebApplication/src/main/java/HitCount.java:HitCount:service
